ID,tic_id,period,duration,depth,vshape,snr,oot_variability
000,372313154,5.933716867537748,0.011 d,0.020079970359802246,2.0000780514872964,0.18376217994864485,0.10927150714806443
000,372313154,1.3025732330465385,0.011 d,0.00026297569274902344,2.0,0.002406471138305608,0.10927855670614198
000,372313154,1.6701867037952467,0.011 d,-3.3795833587646484e-05,2.0001663615055807,-0.0003092432915861463,0.10928558357500194
000,372313154,1.006771977087714,0.011 d,0.0,2.000276090623629,0.0,0.10927308707262509
001,250326099,4.9955497984808765,0.01 d,0.04616260528564453,1.9935904142540122,0.38716962370649277,0.11923095836836538
001,250326099,1.350314037869873,0.01 d,-0.005320906639099121,1.9999982265957033,-0.044620390173932864,0.11924832163855849
001,250326099,1.021602332706686,0.01 d,0.004782527685165405,2.0,0.0401159747515091,0.11921753652478541
001,250326099,2.1295375166087633,0.01 d,-0.0015337467193603516,1.9972826971738635,-0.012862865566590246,0.1192383385661804
002,823660418,6.477857094395037,0.01 d,5.495402812957764,nan,9.729037781043274,0.564845459194884
002,823660418,4.277278830383845,0.01 d,-0.00026872754096984863,1.6663881724867668,-0.00046874514663277706,0.573291356508432
002,823660418,9.83268674110336,0.01 d,2.384185791015625e-07,2.0,4.1575127579641703e-07,0.5734644557490428
002,823660418,2.7030338848398574,0.01 d,0.0004113316535949707,2.0,0.0007164804870314074,0.5741002875029305
003,46259736,5.502955414627509,0.021 d,0.0116499662399292,1.9999881500236836,0.14023051400782435,0.08307725549147722
003,46259736,8.066640844770653,0.021 d,0.001502394676208496,1.9999911244118105,0.018086549769632008,0.0830669583389018
003,46259736,1.1561629613435729,0.021 d,0.001535952091217041,1.9999997046762004,0.018486038372583447,0.08308714178019905
003,46259736,1.4824563843832508,0.021 d,0.0005751252174377441,1.9999970480970244,0.0069246830367198945,0.0830543743862349
004,116263538,9.242801263614771,0.012 d,0.025640785694122314,2.0,0.16040273233145821,0.15985254940132737
004,116263538,2.1976769315986604,0.012 d,2.662613387549584e-07,1.9998563981409412,1.6654323751966018e-06,0.1598752028124388
004,116263538,5.046380235282575,0.012 d,-7.657175737918465e-08,1.999917449688966,-4.789918665104881e-07,0.15986024551318348
004,116263538,1.190475786824409,0.012 d,0.0,1.9999444559697932,0.0,0.15986742978888177
005,76655291,2.7676451411793237,0.024 d,0.026719212532043457,1.9999883583233355,0.1371958571616575,0.19475232769281278
005,76655291,3.540757945597711,0.024 d,-7.474422454833984e-05,1.9999945010948486,-0.0003836150229830384,0.19484175558902622
005,76655291,9.910415016247127,0.024 d,0.01273411512374878,1.9999913948126218,0.06535583163517888,0.19484282894343014
005,76655291,2.14637170266373,0.024 d,0.0005822181701660156,1.999994500708463,0.0029893047273169423,0.1947670857526081
006,224288915,8.87599201343534,0.014 d,0.014611601829528809,1.9998436292903903,0.19976542581597115,0.07314379738058065
006,224288915,2.2001503977888075,0.014 d,5.075441256163771e-08,1.9998107262902627,6.937993120711184e-07,0.07315431375987742
006,224288915,1.1587669285187367,0.014 d,-1.1236643615575304e-08,1.9996847606586647,-1.5357976105259202e-07,0.07316487236705242
006,224288915,3.540757945597711,0.014 d,6.010072306494862e-08,1.9998693252123543,8.216017064771951e-07,0.07315067944861531
007,421737701,6.007593481213169,0.011 d,0.069713294506073,2.0001540586519817,0.44049668758875477,0.15826065546072152
007,421737701,2.316990640368835,0.011 d,0.04470595717430115,2.0,0.2825507141476472,0.15822277182757358
007,421737701,1.0273643107386625,0.011 d,0.0065469443798065186,2.0,0.04136435384618364,0.1582750308188497
007,421737701,3.6294738664382997,0.011 d,0.01261138916015625,1.2001963163595437,0.07968302252339252,0.1582694626882901
008,340803443,7.200327042674028,0.017 d,0.05472809076309204,1.999978578785382,0.1805130931088871,0.3031807267857272
